
--- [START 2018-02-26_02-24-30] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/science2018/build/dummy-15.3
	out_dir      = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15

** net setting **
<class 'net.resnet50_fpn_mask_single_shot_0.model.MaskSingleShotNet'>


** dataset setting **
	WIDTH, HEIGHT = 192, 192
	train_dataset.split = debug1_ids_gray_only_10
	valid_dataset.split = debug1_ids_gray_only_10
	len(train_dataset)  = 10
	len(valid_dataset)  = 10
	len(train_loader)   = 2
	len(valid_loader)   = 3
	batch_size  = 4
	iter_accum  = 1
	batch_size*iter_accum  = 4

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 10

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
0.0100   9.2 k 3680.0  0.0 m | 0.203   0.01 0.01   0.09 | 0.245   0.01 0.01   0.11 | 0.242   0.01 0.01   0.11 |  7 hr 27 min
0.0100   9.3 k 3720.0  0.0 m | 0.209   0.01 0.01   0.10 | 0.246   0.02 0.02   0.11 | 0.206   0.01 0.01   0.09 |  7 hr 32 min
0.0100   9.4 k 3760.0  0.0 m | 0.212   0.01 0.01   0.10 | 0.287   0.01 0.01   0.13 | 0.312   0.01 0.01   0.15 |  7 hr 37 min
0.0100   9.5 k 3800.0  0.0 m | 0.211   0.01 0.01   0.10 | 0.165   0.01 0.01   0.08 | 0.208   0.01 0.01   0.09 |  7 hr 42 min
0.0100   9.6 k 3840.0  0.0 m | 0.210   0.01 0.01   0.10 | 0.298   0.01 0.01   0.14 | 0.300   0.01 0.02   0.14 |  7 hr 47 min
0.0100   9.7 k 3880.0  0.0 m | 0.208   0.01 0.01   0.10 | 0.238   0.01 0.01   0.11 | 0.355   0.01 0.01   0.17 |  7 hr 52 min
0.0100   9.8 k 3920.0  0.0 m | 0.204   0.01 0.01   0.09 | 0.300   0.01 0.01   0.14 | 0.239   0.01 0.01   0.11 |  7 hr 57 min
0.0100   9.9 k 3960.0  0.0 m | 0.227   0.01 0.01   0.10 | 0.285   0.01 0.01   0.13 | 0.233   0.01 0.01   0.11 |  8 hr 02 min
0.0100  10.0 k 4000.0  0.0 m | 0.218   0.01 0.01   0.10 | 0.215   0.01 0.01   0.10 | 0.252   0.01 0.01   0.12 |  8 hr 07 min
0.0100  10.1 k 4040.0  0.0 m | 0.211   0.01 0.01   0.10 | 0.317   0.01 0.01   0.15 | 0.295   0.01 0.01   0.14 |  8 hr 12 min

--- [START 2018-02-26_10-43-50] ----------------------------------------------------------------
** charge some parameters at configuration **
        self.rpn_train_bg_thresh_high = 0.5
        self.rpn_train_fg_thresh_low  = 0.7  (previous 0.5)



** some experiment setting **
	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/science2018/build/dummy-15.3
	out_dir      = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15a

** net setting **
	initial_checkpoint = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15/checkpoint/00010000_model.pth
<class 'net.resnet50_fpn_mask_single_shot_0.model.MaskSingleShotNet'>


** dataset setting **
	WIDTH, HEIGHT = 192, 192
	train_dataset.split = debug1_ids_gray_only_10
	valid_dataset.split = debug1_ids_gray_only_10
	len(train_dataset)  = 10
	len(valid_dataset)  = 10
	len(train_loader)   = 2
	len(valid_loader)   = 3
	batch_size  = 4
	iter_accum  = 1
	batch_size*iter_accum  = 4

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 10

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000  10.0 k 4000.0  0.0 m | 0.233   0.02 0.01   0.10 | 0.000   0.00 0.00   0.00 | 0.000   0.00 0.00   0.00 |  0 hr 00 min
0.0100  10.1 k 4040.0  0.0 m | 0.213   0.01 0.01   0.10 | 0.288   0.01 0.01   0.13 | 0.253   0.01 0.01   0.12 |  0 hr 05 min
0.0100  10.2 k 4080.0  0.0 m | 0.199   0.01 0.01   0.09 | 0.329   0.01 0.01   0.15 | 0.216   0.01 0.01   0.10 |  0 hr 10 min
0.0100  10.3 k 4120.0  0.0 m | 0.205   0.01 0.01   0.10 | 0.244   0.01 0.01   0.11 | 0.255   0.01 0.01   0.12 |  0 hr 15 min
0.0100  10.4 k 4160.0  0.0 m | 0.206   0.01 0.01   0.10 | 0.338   0.01 0.01   0.16 | 0.282   0.01 0.01   0.13 |  0 hr 19 min
0.0100  10.5 k 4200.0  0.0 m | 0.204   0.01 0.01   0.09 | 0.277   0.01 0.01   0.13 | 0.279   0.01 0.01   0.13 |  0 hr 24 min
0.0100  10.6 k 4240.0  0.0 m | 0.205   0.01 0.01   0.10 | 0.271   0.01 0.01   0.13 | 0.193   0.01 0.01   0.09 |  0 hr 29 min
0.0100  10.7 k 4280.0  0.0 m | 0.202   0.01 0.01   0.09 | 0.276   0.01 0.01   0.13 | 0.263   0.01 0.01   0.12 |  0 hr 34 min
0.0100  10.8 k 4320.0  0.0 m | 0.203   0.01 0.01   0.10 | 0.225   0.01 0.01   0.10 | 0.300   0.01 0.01   0.14 |  0 hr 38 min
0.0100  10.9 k 4360.0  0.0 m | 0.199   0.01 0.01   0.09 | 0.280   0.01 0.01   0.13 | 0.253   0.01 0.01   0.12 |  0 hr 43 min
0.0100  11.0 k 4400.0  0.0 m | 0.201   0.01 0.01   0.09 | 0.224   0.01 0.01   0.10 | 0.274   0.01 0.01   0.13 |  0 hr 48 min
0.0100  11.1 k 4440.0  0.0 m | 0.204   0.01 0.01   0.10 | 0.247   0.01 0.01   0.11 | 0.272   0.01 0.01   0.13 |  0 hr 52 min
0.0100  11.2 k 4480.0  0.0 m | 0.202   0.01 0.01   0.09 | 0.387   0.01 0.01   0.18 | 0.214   0.01 0.01   0.10 |  0 hr 57 min
0.0100  11.3 k 4520.0  0.0 m | 0.202   0.01 0.01   0.09 | 0.218   0.00 0.01   0.10 | 0.283   0.01 0.01   0.13 |  1 hr 02 min
